Training Chroms:  ['chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr9', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX']
Vaidation Chroms:  ['chr8', 'chr10'] 


41459 peaks and 42560 negatives extracted.
Sampling ratios are 1:0.0974 peaks:negatives after accounting for # examples in each.


Training Set Size:  84019
Validation Set Size:  4634 

Warning: BPNet and ChromBPNet models trained using bpnet-lite may underperform those trained using the official repositories. See the GitHub README for further documentation.
Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.9862	0.8029	438.6313	15.085	622.1283	-0.0022316	-0.12833713	9.9496	True
0	100	2.9775	0.702	417.7623	1.9899	301.4044	0.05054314	-0.156944	0.7455	True
0	200	2.8261	0.6825	408.3089	1.9478	284.9761	0.12618579	-0.15468955	1.0541	True
0	300	2.8007	0.6414	443.8223	1.7516	268.3781	0.20007217	-0.078602195	0.6342	True
0	400	2.7591	0.6274	386.3711	1.4869	256.6516	0.2353282	0.3035038	0.5908	True
0	500	2.7491	0.6363	393.5497	1.2422	252.8305	0.24715352	0.34602883	0.6414	True
0	600	2.7426	0.6262	361.4073	1.8197	251.6933	0.25273412	0.38802764	0.5339	True
0	700	2.736	0.6243	355.2639	0.9803	250.069	0.25651702	0.40308517	0.6211	True
0	800	2.7384	0.6172	367.2371	1.0143	249.9474	0.257717	0.4293122	0.6637	True
0	900	2.7325	0.6181	411.4366	0.4922	249.9584	0.26084054	0.436402	0.7125	False
0	1000	2.7311	0.6575	328.5098	1.1214	250.0589	0.26240054	0.45269835	0.5381	True
0	1100	2.7764	0.6157	359.1193	1.0662	248.345	0.26284593	0.45244196	0.7307	True
0	1200	2.7351	0.7032	368.3679	0.7588	248.8555	0.26349816	0.46835524	0.5261	False
0	1300	2.815	0.6148	290.2396	1.211	248.4968	0.2648417	0.4789377	0.699	False
1	1400	1.9769	0.6159	352.3998	1.0358	248.1517	0.26441437	0.47940284	0.8376	True
1	1500	2.7526	0.6489	336.7277	0.7216	248.3773	0.26443708	0.48801363	0.5202	True
1	1600	2.7511	0.6242	359.4879	1.6989	247.3556	0.2660415	0.48363855	0.9609	True
1	1700	2.7996	0.6307	343.1173	1.256	247.246	0.26710448	0.4940076	0.7226	True
1	1800	2.763	0.6251	288.3401	0.8963	247.4247	0.26714835	0.49192578	0.7498	False
1	1900	2.7919	0.6225	363.4068	1.1724	247.0623	0.26729682	0.50228524	0.5331	True
1	2000	3.1741	0.8857	339.8973	0.7436	247.1886	0.2679112	0.5093988	1.0026	False
1	2100	3.0394	0.6193	339.1093	1.0199	247.278	0.2687959	0.512431	0.9872	False
1	2200	2.7591	0.6289	328.2856	0.7187	246.6258	0.2693076	0.5185019	0.7669	True
1	2300	2.7536	0.6886	342.5262	0.8928	246.9486	0.2691048	0.51950157	0.7427	False
1	2400	2.8452	0.7064	329.733	0.8645	246.6616	0.27011457	0.52550244	0.6078	True
1	2500	2.9073	0.6066	374.1365	0.9075	246.4563	0.27061433	0.5320735	0.5942	True
1	2600	2.7479	0.8353	398.5278	1.0518	246.1158	0.27117023	0.5325285	0.8228	True
2	2700	1.867	1.1533	384.2813	0.7633	246.4066	0.27087218	0.53484046	0.7689	False
2	2800	3.3433	0.6894	396.6822	0.6206	245.9189	0.27196845	0.5334097	0.8928	True
2	2900	3.0059	0.6502	350.0339	0.6066	246.3789	0.27209067	0.54108846	0.6065	False
2	3000	2.7659	0.6163	324.8613	0.8817	246.0469	0.27140012	0.5314901	0.8456	False
2	3100	2.7351	0.6531	381.6591	0.7184	245.6885	0.2722378	0.54496527	0.9721	True
2	3200	2.7917	0.6355	394.0336	1.3443	246.0372	0.2715744	0.52589285	1.4862	False
2	3300	2.9572	0.6307	359.8962	0.5031	245.5407	0.27317357	0.549014	0.9538	True
2	3400	2.7453	0.9959	323.1845	1.1661	246.0996	0.27267373	0.5381719	0.8584	False
2	3500	3.1738	0.7	356.6299	0.5924	245.6738	0.27284414	0.55668044	0.5908	True
2	3600	2.8351	0.6371	394.5276	0.6014	245.3675	0.27360284	0.5531604	0.8967	True
2	3700	2.7609	0.6529	344.5411	1.2479	245.5057	0.27315813	0.55647874	0.6776	True
2	3800	2.7788	0.6183	300.843	0.6559	245.7461	0.2735406	0.55365276	0.9338	False
2	3900	2.7384	0.623	328.3545	0.6827	245.3171	0.27392375	0.5673059	0.9504	False
3	4000	1.4378	0.6395	408.8204	0.6848	245.2409	0.2744405	0.5621091	0.8992	True
3	4100	2.7645	0.9013	351.2092	0.6107	246.481	0.27447876	0.5628722	1.2125	False
3	4200	3.0151	0.6162	362.9572	1.0918	245.4943	0.27455965	0.5708374	0.6368	True
3	4300	2.815	0.6664	301.4083	0.7602	245.2894	0.27471012	0.5651443	0.7159	True
3	4400	2.794	0.8139	419.9382	0.6537	245.2157	0.27432743	0.57061374	0.6862	True
3	4500	2.9462	0.6184	392.1703	0.7796	245.1122	0.2746415	0.5653261	0.6609	True
3	4600	2.7439	0.6846	334.3666	1.0427	245.047	0.2748438	0.56444484	1.1379	False
3	4700	2.8026	0.6229	306.0757	0.7933	244.9888	0.2754243	0.5698467	0.7933	False
3	4800	2.7448	0.6241	395.2805	0.896	244.8819	0.27590743	0.56687987	0.8502	True
3	4900	2.7333	0.6384	365.1426	0.9956	244.7798	0.2757673	0.5672808	1.1381	False
3	5000	2.7588	0.6542	346.0301	0.6879	245.1836	0.2757507	0.5798428	0.6596	False
3	5100	2.7679	0.6284	315.8563	0.9058	244.9581	0.27606478	0.5743753	0.7213	True
3	5200	2.8152	0.6756	367.4227	0.7646	244.7109	0.27642277	0.57666355	1.0434	False
4	5300	1.1485	0.6351	371.3868	0.666	244.6817	0.27622333	0.5813085	0.8152	True
4	5400	2.7865	0.6151	390.637	0.9805	244.925	0.27590057	0.5834024	0.867	False
4	5500	2.7243	0.655	340.1209	0.7959	244.7212	0.27632478	0.56656575	1.0186	False
4	5600	2.8541	0.6229	341.8584	0.6151	244.5619	0.27696356	0.57583785	1.2045	False
4	5700	2.7383	0.6457	294.9922	1.0515	244.9834	0.27672723	0.58664	0.7388	False
4	5800	2.7769	0.6327	366.4506	0.5172	245.025	0.27664652	0.57779914	1.2586	False
4	5900	2.7546	0.6735	415.7415	0.6839	244.5385	0.27671626	0.5741396	1.0067	False
4	6000	2.9349	0.6655	328.4487	0.6298	244.6149	0.27712786	0.5847827	0.9586	False
4	6100	2.7724	0.6446	342.1538	0.6236	244.3684	0.2775661	0.5837923	0.9101	True
4	6200	2.7674	0.7194	351.166	0.6471	244.5796	0.27673763	0.5840669	0.8837	False
4	6300	2.9172	0.6263	392.0457	0.4866	244.3743	0.2775235	0.5841981	0.9737	False
4	6400	2.8257	0.6574	319.089	0.7597	244.4606	0.27723598	0.5861796	1.073	False
4	6500	2.7762	0.6805	310.5216	0.7749	244.3171	0.27779615	0.5853417	0.9691	False
5	6600	0.8871	0.6558	367.8521	0.8944	244.502	0.2775543	0.5944308	0.6328	True
5	6700	2.7852	0.643	356.6659	0.9122	244.3335	0.27767473	0.58948356	0.985	False
5	6800	2.9357	0.6868	351.3412	0.7736	244.5384	0.277463	0.5934154	0.9227	False
5	6900	2.8015	0.6883	330.5134	0.9416	244.5673	0.27694562	0.570283	1.0715	False
5	7000	2.8056	0.6173	335.797	0.675	244.3379	0.27783352	0.5955583	0.8647	False
5	7100	2.7679	0.6362	360.1754	0.6314	244.3655	0.27810827	0.5969006	1.2899	False
5	7200	2.7501	0.6353	333.1691	0.9286	244.2025	0.27828243	0.58994734	1.522	False
5	7300	2.7738	0.6368	349.9167	0.5426	244.4749	0.27749783	0.5891248	0.6412	True
5	7400	2.7569	0.6308	334.0408	0.6442	244.1424	0.2786328	0.59288776	0.9571	True
5	7500	2.7497	0.6268	363.152	0.4448	244.1371	0.2786225	0.5890893	1.0664	False
5	7600	2.7391	0.6453	351.9358	0.7407	244.2361	0.27867267	0.60434103	0.859	True
5	7700	2.7954	0.6188	321.1653	0.6898	244.352	0.27866405	0.58954346	1.177	False
5	7800	2.7326	0.62	326.5118	0.5733	244.1544	0.27893412	0.59758836	1.0774	False
6	7900	0.6037	0.6344	333.5876	0.5876	244.2742	0.27894986	0.59923947	1.063	False
6	8000	2.7434	0.6175	337.2484	0.8648	244.1037	0.2790034	0.6005565	0.8094	True
6	8100	2.7309	0.6265	344.3615	0.9756	243.9601	0.27927455	0.5906515	1.0446	False
6	8200	2.729	0.6547	386.3206	1.0011	244.1464	0.27866825	0.59480995	1.043	False
6	8300	2.8387	0.6396	314.245	0.7695	244.1743	0.2784256	0.5971118	0.6123	True
6	8400	2.7566	0.6291	350.3832	0.5595	244.2669	0.27880326	0.611554	0.8906	False
6	8500	2.7429	0.6425	355.1429	0.6783	244.2212	0.27795464	0.5937941	0.7243	False
6	8600	2.7634	0.6272	366.1253	0.9092	244.5149	0.27905905	0.5980202	0.8005	False
6	8700	2.7554	0.6336	404.0077	0.5578	244.092	0.2789689	0.59504485	0.9606	False
6	8800	2.8195	0.6518	350.3867	0.7742	244.2341	0.27918363	0.59907794	0.7997	False
6	8900	2.7748	0.6191	347.1047	0.8813	244.2267	0.2784453	0.5871726	1.3416	False
6	9000	2.7382	0.6749	334.7805	0.8954	244.0426	0.2798862	0.6084827	0.8435	False
6	9100	2.7905	0.6218	361.1808	0.6576	244.0228	0.27902213	0.60426927	0.6142	True
7	9200	0.3288	0.6275	341.8471	0.6133	244.0358	0.27947497	0.60145295	0.969	False
7	9300	2.8026	0.7083	371.9514	0.8146	243.7738	0.2798242	0.6009066	0.798	True
7	9400	2.8436	0.6341	306.9738	0.9804	244.064	0.27915627	0.5922911	1.2479	False
7	9500	2.7658	0.6581	406.4277	0.6441	243.9406	0.2794945	0.6005031	0.7208	False
7	9600	2.772	0.6417	370.3642	0.6762	243.8674	0.27958998	0.59772	0.8876	False
7	9700	2.7878	0.9538	375.1786	0.6957	243.8236	0.27994552	0.60024595	1.263	False
7	9800	3.0647	0.6579	331.7872	0.8844	244.4435	0.27883774	0.59613353	0.8841	False
7	9900	2.7951	0.6145	305.1029	0.4962	243.8941	0.27981257	0.59506154	1.3186	False
7	10000	2.7319	0.6418	347.9374	0.5799	243.8202	0.27949843	0.6040094	0.8814	False
7	10100	2.9492	0.6211	347.1655	0.5983	244.0425	0.27902922	0.60931003	0.7218	False
7	10200	2.7358	0.6221	417.0304	0.7944	243.9107	0.27951667	0.5962417	1.2022	False
7	10300	2.7405	0.6952	395.7992	0.5391	243.9186	0.27972504	0.60530996	0.8484	False
7	10400	2.8287	0.6171	346.1244	0.6395	243.8724	0.28015253	0.6099809	0.9905	False
7	10500	2.7284	0.684	352.6281	0.5555	244.233	0.27990344	0.6092266	0.9805	False
8	10600	2.1626	0.6394	319.7949	0.5179	244.102	0.28019652	0.61170506	0.7328	False
8	10700	2.7526	0.6447	356.517	0.8178	243.9846	0.27898353	0.59881186	1.0434	False
8	10800	2.7607	0.6422	324.6661	0.3587	243.9562	0.27948138	0.6136175	1.0707	False
8	10900	2.7892	0.6314	364.0884	0.59	243.7618	0.279886	0.6083676	1.0227	False
8	11000	2.896	0.6177	293.558	1.348	244.1167	0.27936447	0.5938627	1.2529	False
8	11100	2.818	0.6422	332.0616	0.5647	244.1058	0.2792683	0.60100925	0.8247	False
8	11200	2.758	0.6403	396.3983	0.4237	243.781	0.27972654	0.61521983	1.1306	False
8	11300	2.7848	0.6232	345.7274	0.7239	243.8804	0.27987516	0.60013086	1.1642	False
8	11400	2.7376	0.6398	351.134	0.4539	243.7474	0.28049543	0.61193055	1.2701	False
8	11500	2.7515	0.6302	352.8853	0.5927	243.6488	0.28031734	0.6102748	1.019	False
8	11600	2.739	0.6367	389.4182	0.5477	243.6494	0.28051633	0.6171365	0.8957	True
8	11700	2.76	0.6405	348.5547	0.6202	243.6876	0.2804661	0.60922813	0.8459	True
8	11800	2.7522	0.6226	331.6867	0.7703	243.7838	0.28046036	0.61051345	0.9478	False
9	11900	1.8814	0.6569	358.6459	0.6582	243.7431	0.28055823	0.59740305	1.1241	False
9	12000	2.7734	0.6252	391.3504	0.6566	243.8334	0.2802925	0.60769033	1.0952	False
9	12100	2.7469	0.6446	376.9386	0.5286	243.6453	0.28044322	0.6136036	0.9505	False
9	12200	2.7818	0.6311	329.8666	0.717	243.8264	0.28039667	0.6101949	1.1206	False
9	12300	2.7688	0.6313	346.3785	0.5181	243.8411	0.28051975	0.6093695	1.0194	False
9	12400	2.7633	0.6411	345.7157	0.5774	243.6973	0.28023958	0.6154375	0.7573	True
9	12500	2.781	0.6292	345.1021	0.6464	243.6767	0.2808711	0.6019617	1.2449	False
9	12600	2.7694	0.6588	373.2516	0.5059	243.5204	0.28091893	0.6141121	0.9664	False
9	12700	2.8553	0.6607	332.06	0.4331	243.8534	0.28020427	0.60025495	1.1798	False
