Training Chroms:  ['chr5', 'chr6', 'chr7', 'chr9', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX']
Vaidation Chroms:  ['chr2', 'chr3', 'chr4'] 


32674 peaks and 33597 negatives extracted.
Sampling ratios are 1:0.0973 peaks:negatives after accounting for # examples in each.


Training Set Size:  66271
Validation Set Size:  8785 

Warning: BPNet and ChromBPNet models trained using bpnet-lite may underperform those trained using the official repositories. See the GitHub README for further documentation.
Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.9409	1.4907	466.6347	36.3323	590.9561	0.0047929995	-0.1230517	23.9791	True
0	100	3.7178	2.201	437.0195	3.0332	298.9174	0.04569215	0.089797646	0.9057	True
0	200	4.3137	1.8959	395.9693	2.4058	272.9123	0.12727086	0.100035265	1.8759	True
0	300	3.9698	1.2356	482.5948	1.5309	259.1548	0.19134395	0.08424589	0.5947	True
0	400	3.3074	1.4092	389.1039	1.3053	249.5036	0.2299535	0.24321452	0.5771	True
0	500	3.4773	1.2011	426.9583	1.1044	244.4565	0.23889332	0.3692503	0.6797	True
0	600	3.2726	1.2032	373.9687	1.373	242.9815	0.24460308	0.41316867	0.7921	True
0	700	3.2706	1.1532	373.384	1.0591	241.776	0.24787036	0.43662977	0.5407	True
0	800	3.2208	1.1735	387.6491	0.7671	241.2915	0.25126192	0.44799954	0.8515	True
0	900	3.2402	1.1472	422.3263	0.7282	240.9265	0.2528835	0.44758672	0.6935	True
0	1000	3.214	1.1774	355.654	0.7321	240.4376	0.25384322	0.46432763	0.682	True
1	1100	1.4545	1.1512	320.5123	1.4246	241.0216	0.25599018	0.47391868	0.5752	False
1	1200	3.2127	1.1425	417.865	0.5085	239.6134	0.2560145	0.47258395	0.7751	True
1	1300	3.2107	1.1777	317.1722	1.3867	239.3018	0.25788546	0.48029345	1.0088	True
1	1400	3.2426	1.1549	347.3198	0.9271	239.1916	0.2569811	0.48802418	0.7085	True
1	1500	3.2205	1.1414	353.8332	0.7882	239.2012	0.25779727	0.49517778	0.5108	True
1	1600	3.21	1.168	344.961	1.3213	238.5764	0.25894666	0.496601	0.6575	True
1	1700	3.2336	1.1417	373.2706	0.9259	238.2749	0.26069993	0.4941992	0.7266	True
1	1800	3.207	1.1423	310.4185	0.8416	238.3793	0.26139235	0.48964787	0.9877	False
1	1900	3.2032	1.1465	396.0496	0.9355	238.0712	0.26127446	0.4969728	0.8497	True
1	2000	3.2128	1.1419	329.8026	1.1311	238.1362	0.26141533	0.505049	0.7317	True
2	2100	0.7089	1.1566	376.8873	0.9582	237.6301	0.2627845	0.5006012	0.8597	True
2	2200	3.2226	1.1631	369.3345	0.5385	237.8017	0.26300314	0.5006573	1.1313	False
2	2300	3.2249	1.1435	389.86	0.8057	237.4445	0.26317587	0.51270795	0.784	True
2	2400	3.2147	1.1438	365.1478	1.0468	237.3862	0.26362556	0.5188205	0.8049	True
2	2500	3.2112	1.1445	340.2795	1.3501	237.8496	0.26285785	0.5202477	0.5428	False
2	2600	3.2086	1.1839	325.2443	1.2119	237.2845	0.26372063	0.5213137	1.09	False
2	2700	3.2459	1.1449	393.4391	0.7398	237.588	0.26423252	0.52004147	0.8328	False
2	2800	3.2077	1.1458	359.4378	1.0123	237.198	0.26509434	0.5217924	0.7327	True
2	2900	3.2139	1.1454	363.6096	0.8039	236.8839	0.26494884	0.526795	0.7297	True
2	3000	3.218	1.1739	330.7052	0.8565	236.963	0.26525632	0.5317905	0.6499	True
2	3100	3.2497	1.1463	373.6569	1.317	236.9922	0.26577035	0.5294968	0.8291	False
3	3200	2.031	1.1497	339.0981	1.0526	237.3205	0.26561087	0.54213417	0.4998	False
3	3300	3.2178	1.1465	333.3309	0.9486	236.8768	0.26609847	0.52814347	0.8243	False
3	3400	3.2117	1.1485	367.8565	0.5681	236.7644	0.2664805	0.53540814	0.8008	True
3	3500	3.2168	1.158	387.2692	1.0987	236.7061	0.26665264	0.53832126	0.7827	True
3	3600	3.2263	1.1567	356.2225	0.9282	237.0285	0.2667084	0.54071796	0.6543	False
3	3700	3.2187	1.1449	375.6109	0.4922	236.4627	0.26730207	0.5411029	0.753	True
3	3800	3.2131	1.1462	390.977	0.8914	236.3162	0.26752508	0.53716004	0.8578	True
3	3900	3.2139	1.1881	325.5854	0.6934	236.3335	0.26762402	0.53936684	0.6173	True
3	4000	3.2575	1.1772	370.5228	0.9016	236.5236	0.26800308	0.5431175	0.7235	False
3	4100	3.2393	1.1421	361.3606	0.7427	236.488	0.26756984	0.54696035	0.7392	False
4	4200	1.2859	1.1446	395.338	0.6103	236.2191	0.2680895	0.5464251	0.8898	False
4	4300	3.2063	1.1427	371.452	0.837	236.6436	0.26828712	0.5560185	0.7087	False
4	4400	3.2076	1.1431	391.7632	0.8557	236.7366	0.26836255	0.5503218	0.5705	False
4	4500	3.2063	1.1445	352.3198	0.5498	236.2709	0.26869187	0.55385715	0.6897	False
4	4600	3.2063	1.1748	341.0211	0.8278	236.0487	0.2685298	0.55505097	1.0673	False
4	4700	3.2377	1.1427	348.3398	0.8721	235.9187	0.26907617	0.5591983	0.8024	True
4	4800	3.2115	1.1419	375.7509	0.6375	235.8697	0.26956916	0.5579862	0.5875	True
4	4900	3.209	1.1446	385.5888	0.6038	235.9284	0.26914486	0.5560534	1.2446	False
4	5000	3.2163	1.1421	351.3851	0.9251	236.5535	0.2698346	0.5640507	0.7412	False
4	5100	3.2061	1.1454	411.4226	0.7443	235.9106	0.26943392	0.5593097	0.6612	False
5	5200	0.5475	1.17	321.1046	0.6013	235.8556	0.26959935	0.56118184	0.858	False
5	5300	3.2336	1.1416	380.3402	0.7834	236.1125	0.2698022	0.5593693	1.0635	False
